kc,kf,K,l,n_sim,C0av,C0bav,F0av,Cav,Cbav,Fav,r,ER,std,mean
0.01,0.0,0.0,0.1,95.0,0.34881355932203395,0.009952766165848018,0.038407223553797,0.3524369747899159,0.010633251300733858,0.04507470911497735,35,7.313262714757123,0.06877663502117251,0.12188771191261868
0.01,0.0,0.0,0.1,96.0,0.6040677966101696,0.020717774913135003,0.06568750768202812,0.6558620689655174,0.025430599096898765,0.08470192994483224,30,6.707117427021793,0.03608989027285325,0.11178529045036321
0.01,0.0,0.0,0.1,97.0,0.31220338983050855,0.008389267724112701,0.03598031635303778,0.3174964438122333,0.008897916706233086,0.04166157668209331,38,6.901812595139665,0.04726455171413668,0.1150302099189944
0.01,0.0,0.0,0.1,98.0,0.3950847457627119,0.012309880989655981,0.04560315066260208,0.3992307692307693,0.013929840126523584,0.051561120938292175,40,6.7699201859694895,0.04750309971961622,0.1128320030994915
0.01,0.0,0.0,0.1,99.0,0.4754237288135593,0.017282646235752906,0.05119008513405931,0.4806818181818182,0.018033345950482615,0.05966637063310977,33,6.76321574447423,0.0395320985427587,0.11272026240790377
0.01,0.0,0.0,0.2,0.0,0.35435028248587574,0.02407425492945475,0.0843999175257232,0.37647058823529417,0.026617359388738125,0.10298419265512622,34,32.13263378263862,2.162002446887665,0.5355438963773105
0.01,0.0,0.0,0.2,1.0,0.3737853107344633,0.027615618415214864,0.09600029523448633,0.38198198198198197,0.0331754049621919,0.10813076578267239,37,7.443896451194223,0.055346561332827164,0.12406494085323706
0.01,0.0,0.0,0.2,2.0,0.2598870056497175,0.018383797117081182,0.07175566903257007,0.2984873949579832,0.02188773026508574,0.09059096853586301,35,7.5867945526307805,0.03773761659676713,0.12644657587717964
0.01,0.0,0.0,0.2,3.0,0.3055367231638418,0.01834649514752495,0.0768674767504393,0.1935483870967742,0.012415360955486909,0.06650821844451131,32,7.524701942617761,0.05520955731973865,0.1254116990436294
0.01,0.0,0.0,0.2,4.0,0.24768361581920906,0.013604300829485562,0.06469723781072693,0.23356321839080463,0.014851737715396648,0.07696612933750568,30,7.372756486698001,0.04395898302343493,0.12287927477830003
0.01,0.0,0.0,0.2,5.0,0.36293785310734467,0.022848737142177677,0.08923690680548328,0.3129032258064516,0.018524820325936248,0.09587599855230321,32,8.08065471799153,0.06725633834896244,0.13467757863319213
0.01,0.0,0.0,0.2,6.0,0.3249717514124294,0.021547033810285103,0.08031191382363366,0.262873399715505,0.015453898131929922,0.07457751383130827,38,8.154064505752087,0.06967475121224281,0.13590107509586816
0.01,0.0,0.0,0.2,7.0,0.3484745762711865,0.023471060236812554,0.0840757250007563,0.34696969696969693,0.025689840751882582,0.09281570711148257,33,31.695369797994722,2.1893828015444394,0.5282561632999121
0.01,0.0,0.0,0.2,8.0,0.4280225988700565,0.03417682976746389,0.10594642259018397,0.4039408866995074,0.03634318918825087,0.12056065385487678,29,7.987329104898084,0.06370481511558958,0.1331221517483014
0.01,0.0,0.0,0.2,9.0,0.3751412429378531,0.02503180353829655,0.0917937436216664,0.42838709677419357,0.031138208386229518,0.12097444049326125,31,7.928985708274595,0.0534185236720579,0.13214976180457658
0.01,0.0,0.0,0.2,10.0,0.3896045197740114,0.029577536337144217,0.09544113060977404,0.4762923351158646,0.04184204725824469,0.13329744854916423,34,7.87367950621491,0.05154694971186409,0.13122799177024846
